Epact,D.L.,Day,Feast,Rank,Month
,,,Chains of St. Peter,Gd,8
,,,"Holy Maccabees, Martyrs",M,8
,,,(I of August),,8
xxiii,d,2,"St. Stephen, Bishop & Martyr",M,8
xxii,e,3,"The Finding of St. Stephen, Protomartyr",D,8
xxi,f,4,,,8
xx,g,5,Dedication of Our Lady of the Snows,Gd,8
,,,"St. Oswald, King & Martyr",M,8
xix,A,6,The Transfiguration of Our Lord Jesus Christ,D2,8
,,,"Ss. Sixtus II (Bishop & Martyr), Felicissimus & Agapitus (Deacons), Martyrs",M,8
xviii,b,7,[The Most Holy Name of Jesus],D2,8
,,,"St. Donatus, Bishop & Martyr",M,8
xvii,c,8,VII Sunday after Pentecost [VI Trinity],Sd,8
,,,"Ss. Cyriacus, Largus & Smaragdus, Martyrs",M,8
,,,(II of August),,8
xvi,d,9,Vigil of St. Laurence,V,8
,,,"St. Romanus, Martyr",M,8
xv,e,10,"St. Laurence, Deacon & Martyr",D2,8
xiv,f,11,"Ss. Tiburtius & Susanna, Martyrs",M,8
xiii,g,12,,,8
xii,A,13,"St. Maximus of Constantinople, Confessor",D,8
,,,"Ss. Hippolytus & Cassian, Martyrs",M,8
xi,b,14,Vigil of the Assumption,V,8
,,,"St. Eusebius, Priest & Confessor",M,8
x,c,15,The Assumption of The B.V.M.,"D1, OC",8
,,,VIII Sunday after Pentecost [VII Trinity],Sd,8
,,,(III of August),,8
ix,d,16,"St. Joachim, Father of the B.V.M.",D2,8
viii,e,17,Day III within the Octave of the Assumption,Sd,8
,,,Octave of St. Laurence,S,8
vii,f,18,Day IV within the Octave of the Assumption,Sd,8
,,,"St. Helen, Empress",M,8
,,,"St. Agapitus, Martyr",M,8
vi,g,19,Day V within the Octave of the Assumption,Sd,8
v,A,20,Day VI within the Octave of the Assumption,Sd,8
iv,b,21,Day VII within the Octave of the Assumption,Sd,8
iii,c,22,IX Sunday after Pentecost [VIII Trinity],Sd,8
,,,Octave of the Assumption,Gd,8
,,,"Ss. Timothy (Bishop), Hippolytus, & Symphorian, Martyrs",M,8
,,,(IV of August),,8
ii,d,23,Vigil of St. Bartholomew,V,8
i,e,24,"St. Bartholomew, Apostle",D2,8
*,f,25,,,8
